,tag,text,major_label,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9
33,0,"Happening Now: The Senate rejected the idea of summoning witnesses for President Donald Trump’s impeachment trial late Friday, all but ensuring his acquittal. But senators considered pushing off final voting on his fate to next week.",0,0,0,1,-1,-1,-1,-1,-1,-1
34,1,Djokovic faces Thiem in Open final,1,-1,-1,1,-1,-1,-1,-1,-1,-1
35,0,"Postpartum support groups can be extremely helpful to new parents looking for advice and camaraderie, but finding this type of support can be difficult:",1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,2,"Savor the weekend ahead with Guy Fieri, Coyo Taco, Kush by LoKal, and more.",1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,0,"Peer Support Space works to destigmatize mental health struggles, while promoting wellness through peer recovery.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,1,"Get ready, get set, go! The annual Snowdown bed races are off and bringing the competition. Durango Police will race Durango Fire, the City of Durango staff will race La Plata County staff and more. Check it out!",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,0,"The Senate proposal for the fiscal year that starts July 1 would be about a 2 percent increase over the current year’s budget. Also, it exceeds a $91.4 billion budget proposal that Gov. Ron DeSantis released in November.",2,-1,-1,-1,-1,-1,-1,-1,2,-1
40,2,Detroit is home to a rock subgenre of the extraterrestrial variety: diabolical space rock sludge.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,0,A man was shot to death at a Chico motel last week. The incident marks the first nonvehicular homicide in the city since 2018.,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,0,"Ever since the $9.2 billion — and counting — rail project leaped off the drawing board and attached itself to our wallets and purses, we’ve been told how the station on the Kamehameha Highway edge of the stadium’s property would make commuting to events there convenient as well as help relieve congestion at the site. A “game changer,” it has been repeatedly called.",2,-1,-1,-1,-1,-1,-1,-1,2,-1
43,2,"Ten years later, Chewbacchus is still a charmingly motley do-it-yourself affair, with piecemeal costumes and rickety rolling props, only 10 times bigger. The 2011 parade may have included 200 participants. This year, 2,000 marchers are expected.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,2,LOCAL ARTS: More than 100 new works will be on display during the 11th annual Artist Showcase opening at Northwind Arts Center on Saturday. #JeffersonCounty #JeffCoNews #PortTownsend,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,2,Keep your holiday lighting up to celebrate the Portland Winter Light Festival. Sponsored content.,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,2,"The 10 Best Free and Cheap Events Happening in Dallas This Weekend, Jan. 31 – Feb. 2.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,0,The Australian capital region declared a state of emergency on Friday because of an out-of-control forest fire burning erratically to its south.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,"Critic Jenifer Moore writes that Cincinnati Shakespeare Company's ""All the Way"" accurately depicts the chaos of a nation in turmoil following the assassination of President John F. Kennedy and the unease Americans felt in President Lyndon B. Johnson’s leadership.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
49,0,The vote on allowing new witnesses was defeated 51-49 on a near party-line vote.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,3,LIVE VIDEO: Wind Advisory just issued for Saturday in Spokane and much of the Inland Northwest. Video courtesy of KHQ Local News,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,2,Happy hour at White Pie begins with one question: What is happy hour at a pizza joint without a pizza deal?,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,0,It’s been a Pence-ive kind of Madweek.,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,2,"If you’ve been injured in a car accident, hire an experienced personal injury law attorney. Call Spencer Farris at The S.E. Farris Law Firm (@StLouisPersonalInjury) for a free consultation or visit his website for more information: FarrisLaw.net 📞: 314-A-Lawyer",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,0,"The victim, who has non life threatening injuries, wasn't involved in the altercation.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,0,"#BREAKING The 51-49 vote, one of the most consequential of the trial, fell mostly along party lines.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,0,"#Breaking: The Senate on Friday rejected additional witness testimony in President Donald Trump’s impeachment trial, preventing former national security adviser John Bolton and others with first-hand knowledge of Trump’s Ukraine dealings from appearing under oath.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
57,0,The first case of coronavirus has been reported in San Francisco Bay Area,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,0,A woman shared photos of a dog lying in the street that appeared to have been shot in the face.,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,3,A reinforcing west-northwest swell continues to pump large surf for most islands as cloudy weather today heralds the return of tradewinds and also wet weather. #HIwx,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,1,Red Sox to interview D-backs’ Luis Urueta for manager opening http://bhne.ws/wY8WxzQ,1,-1,-1,-1,-1,1,-1,-1,-1,-1
61,0,It's the first time in 50 years that U.S. health officials have imposed a mandatory quarantine order.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,0,It's the first time in 50 years that U.S. health officials have imposed a mandatory quarantine order.,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,0,A judge is accused of presiding over a romantic partner's DWI case. The judge's ex-girlfriend shot herself after allegedly finding the judge and his new girlfriend together.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,1,"Avea said he suffered a back ailment during the Jan. 11 road game against UC Irvine. He logged 23 minutes against Cal Poly and 10 against UC Santa Barbara, and did not suit up in last weekend’s game against UC Davis.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,0,"John Delaney, the longest-running Democratic candidate in the 2020 presidential race, is ending his campaign after pouring millions of his own money into an effort that failed to resonate with voters.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
66,0,The investigation started when a patrol sergeant stopped a man on suspicion of driving under the influence.,2,-1,-1,-1,-1,-1,-1,-1,2,-1
67,0,Two men have been charged with carnal knowledge of a child as the result of a joint investigation by Fauquier and Stafford county detectives.,2,-1,-1,-1,-1,-1,-1,-1,2,-1
68,2,Chikwu's jailhouse saga is undermined by her reliance on Lifetime movie melodramatics.,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,2,An exciting new wine and food experience is coming.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,0,A woman was found dead inside a vehicle that caught fire late Thursday on the South Hill.,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,2,"The Dow Jones Industrial Average skidded more than 600 points today as the outbreak continued to widen, stoking fears that the travel restrictions and other uncertainties caused by the health emergency in the world’s second-largest economy could dent global growth.",2,-1,-1,-1,-1,-1,-1,-1,2,-1
72,0,Marketing representatives for the TDA say that ad competition from the presidential election and increases in hotel room supply in Buncombe County are reasons to boost advertising spending in order to avoid a market slowdown.,0,-1,0,-1,-1,-1,-1,-1,-1,-1
73,0,22 more State Police members face termination in overtime abuse scandal http://bhne.ws/pRU4fqA,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,2,"After years wading through personal and professional turmoil, the Welsh alt-rock survivors The Joy Formidable find something worth celebrating — https://sfwk.ly/2PD5nWQ?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,0,"Doormat and U.S. senator from Florida Marco Rubio today officially announced that, though he may be very troubled about some things he heard during impeachment proceedings this month, he will bravely and powerfully do absolutely nothing about any of it.",0,0,-1,-1,-1,-1,-1,-1,-1,-1
76,1,"It will be possible to watch the game via the apps for YouTube TV, Hulu + Live TV, Fubo TV and SlingTV, but each requires a paid subscription.",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,0,#CORONAVIRUS UPDATE,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,0,"LIVE: Santa Clara County health officials have confirmed that a man has tested positive for the coronavirus, the first case in the Bay Area. County health officer Dr. Sara Cody is discussing the case. Full story: https://bayareane.ws/38XtINW",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,2,"The band is still mining a style that swirls surf guitars, noise rock and vintage pop into a wet, wild and intoxicating tiki cocktail.",1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,0,"Northampton High School offers sympathy, support in wake of student’s death",2,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,0,"LIVE: Santa Clara County health officials have confirmed that a man has tested positive for the coronavirus, the first case in the Bay Area. County health officer Dr. Sara Cody is discussing the case. DEVELOPING STORY: https://bayareane.ws/2U9XQSe",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,2,"Southern Classic Daiquiri Factory is gearing up for ⚜️Mardi Gras 2020! Come celebrate 💜💚💛 Fat Tuesday with the #1 Daiquiri spot in DFW 👑 🎺🎷 Damn Good Daiquiris, Gumbo & Good times🎭 SEE Y'ALL Feb. 25th! http://bit.ly/36jEOex",2,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,"In his statement today, Portman said that calling additional witnesses would take too long and keep the Senate from doing its normal legislative work.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,0,"First up, an update from the caller who discovered she was dating a man who lied to her (and other women) about having a vasectomy because he wanted to get her (and other women) pregnant:",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,2,"These desserts are made with ube, a purple yam popular in the Philippines, that gives the treats a beautiful and unique color.",2,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,0,School board’s rejection of charter school’s application to open middle school overturned by state https://sfex.news/30iE5sv?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,"Mount Baker Presbyterian Church in Concrete has plans to open a temporary homeless shelter. The shelter, which will be funded by Skagit County, will be open for four weeks starting in mid-February.",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,1,"The Kamiak High School boys swim and dive team is loaded with a mix of elite top-end talent and considerable depth. And now, the Knights can also lay claim to having an Ironman. Vlad Gilszmer completed the rare feat of qualifying for state in all 11 swimming events.",1,-1,-1,1,-1,-1,-1,-1,-1,-1
89,0,"City officials said last year they decided to ban sunscreens that contain the chemicals oxybenzone and octinoxate. Studies have shown the chemicals can be harmful to coral reefs, which are essential to Key West’s tourism-driven economy.",2,-1,-1,-1,-1,1,-1,-1,2,-1
90,0,The reprieves by Ohio Gov. Mike DeWine come as state officials struggle with obtaining the drugs necessary for the state's lethal injection process and with the question of whether the state should have the death penalty at all. \,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,2,Trash 2 Trends is an exuberant fashion show curated from the upcycled clothing of Orlando residents.,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,2,"Roses are Red, Violets are Blue, Check out P.F. Chang’s Dinner for Two! Make your Valentine’s reservations today at P.F. Chang's for their pre-fixe menu for two including cocktail pairings for just $76.99. Enjoy four courses featuring the Chimichurri Steak & Prawns dish. Limited seating still available. Offer valid from February 14-16. Reserve Your Table: https://hsalinks.com/2GHV3I8",2,-1,-1,-1,-1,-1,-1,-1,2,-1
93,0,"A group of artists arrived at Jackson Square for a day of painting and sketching, but their carts were gone. “That’s putting 10 people out of their livelihoods.”",3,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,2,The music lineup for the fifth annual Pendleton Whisky Music Fest is coming together.,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,2,'You’d be hard-pressed to get me to publish a vampire story and definitely not a zombie story.' The yearly Texas horror anthology from two editors features homegrown thrills and chills.,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,0,"Robert Veal, 37, faces an automatic sentence of life without parole for conspiring to kill Kelli Underwood, 46, in her home in the early morning hours of Sept. 17, 2017.",0,-1,0,-1,-1,-1,-1,-1,-1,-1
97,2,"We watched all 15 of the competing shorts in the Oscars' live-action, animated and documentary categories, and we've got a pretty good idea of the frontrunners",2,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,0,"""With youth voices leading on issues like climate action and school safety, we are amazed that the Iannarone campaign would target youth volunteers with scorn.""",0,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,0,The United States on Friday declared a public health emergency because of a new virus that hit China and has spread to other nations. Health and Human Services Secretary Alex Azar also announced that President Donald Trump will temporarily bar entry to the U.S. of foreign nationals believed to be a risk of transmitting the virus. The new restrictions begin Sunday afternoon.,0,-1,0,-1,-1,-1,-1,-1,-1,-1
