,text
63,A judge is accused of presiding over a romantic partner's DWI case. The judge's ex-girlfriend shot herself after allegedly finding the judge and his new girlfriend together.
64,"Avea said he suffered a back ailment during the Jan. 11 road game against UC Irvine. He logged 23 minutes against Cal Poly and 10 against UC Santa Barbara, and did not suit up in last weekend’s game against UC Davis."
65,"John Delaney, the longest-running Democratic candidate in the 2020 presidential race, is ending his campaign after pouring millions of his own money into an effort that failed to resonate with voters."
66,The investigation started when a patrol sergeant stopped a man on suspicion of driving under the influence.
67,Two men have been charged with carnal knowledge of a child as the result of a joint investigation by Fauquier and Stafford county detectives.
68,Chikwu's jailhouse saga is undermined by her reliance on Lifetime movie melodramatics.
69,An exciting new wine and food experience is coming.
70,A woman was found dead inside a vehicle that caught fire late Thursday on the South Hill.
71,"The Dow Jones Industrial Average skidded more than 600 points today as the outbreak continued to widen, stoking fears that the travel restrictions and other uncertainties caused by the health emergency in the world’s second-largest economy could dent global growth."
72,Marketing representatives for the TDA say that ad competition from the presidential election and increases in hotel room supply in Buncombe County are reasons to boost advertising spending in order to avoid a market slowdown.
73,22 more State Police members face termination in overtime abuse scandal http://bhne.ws/pRU4fqA
74,"After years wading through personal and professional turmoil, the Welsh alt-rock survivors The Joy Formidable find something worth celebrating — https://sfwk.ly/2PD5nWQ?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
75,"Doormat and U.S. senator from Florida Marco Rubio today officially announced that, though he may be very troubled about some things he heard during impeachment proceedings this month, he will bravely and powerfully do absolutely nothing about any of it."
76,"It will be possible to watch the game via the apps for YouTube TV, Hulu + Live TV, Fubo TV and SlingTV, but each requires a paid subscription."
77,#CORONAVIRUS UPDATE
78,"LIVE: Santa Clara County health officials have confirmed that a man has tested positive for the coronavirus, the first case in the Bay Area. County health officer Dr. Sara Cody is discussing the case. Full story: https://bayareane.ws/38XtINW"
79,"The band is still mining a style that swirls surf guitars, noise rock and vintage pop into a wet, wild and intoxicating tiki cocktail."
80,"Northampton High School offers sympathy, support in wake of student’s death"
81,"LIVE: Santa Clara County health officials have confirmed that a man has tested positive for the coronavirus, the first case in the Bay Area. County health officer Dr. Sara Cody is discussing the case. DEVELOPING STORY: https://bayareane.ws/2U9XQSe"
82,"Southern Classic Daiquiri Factory is gearing up for ⚜️Mardi Gras 2020! Come celebrate 💜💚💛 Fat Tuesday with the #1 Daiquiri spot in DFW 👑 🎺🎷 Damn Good Daiquiris, Gumbo & Good times🎭 SEE Y'ALL Feb. 25th! http://bit.ly/36jEOex"
83,"In his statement today, Portman said that calling additional witnesses would take too long and keep the Senate from doing its normal legislative work."
84,"First up, an update from the caller who discovered she was dating a man who lied to her (and other women) about having a vasectomy because he wanted to get her (and other women) pregnant:"
85,"These desserts are made with ube, a purple yam popular in the Philippines, that gives the treats a beautiful and unique color."
86,School board’s rejection of charter school’s application to open middle school overturned by state https://sfex.news/30iE5sv?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com
87,"Mount Baker Presbyterian Church in Concrete has plans to open a temporary homeless shelter. The shelter, which will be funded by Skagit County, will be open for four weeks starting in mid-February."
88,"The Kamiak High School boys swim and dive team is loaded with a mix of elite top-end talent and considerable depth. And now, the Knights can also lay claim to having an Ironman. Vlad Gilszmer completed the rare feat of qualifying for state in all 11 swimming events."
89,"City officials said last year they decided to ban sunscreens that contain the chemicals oxybenzone and octinoxate. Studies have shown the chemicals can be harmful to coral reefs, which are essential to Key West’s tourism-driven economy."
90,The reprieves by Ohio Gov. Mike DeWine come as state officials struggle with obtaining the drugs necessary for the state's lethal injection process and with the question of whether the state should have the death penalty at all. \
91,Trash 2 Trends is an exuberant fashion show curated from the upcycled clothing of Orlando residents.
92,"Roses are Red, Violets are Blue, Check out P.F. Chang’s Dinner for Two! Make your Valentine’s reservations today at P.F. Chang's for their pre-fixe menu for two including cocktail pairings for just $76.99. Enjoy four courses featuring the Chimichurri Steak & Prawns dish. Limited seating still available. Offer valid from February 14-16. Reserve Your Table: https://hsalinks.com/2GHV3I8"
93,"A group of artists arrived at Jackson Square for a day of painting and sketching, but their carts were gone. “That’s putting 10 people out of their livelihoods.”"
94,The music lineup for the fifth annual Pendleton Whisky Music Fest is coming together.
95,'You’d be hard-pressed to get me to publish a vampire story and definitely not a zombie story.' The yearly Texas horror anthology from two editors features homegrown thrills and chills.
96,"Robert Veal, 37, faces an automatic sentence of life without parole for conspiring to kill Kelli Underwood, 46, in her home in the early morning hours of Sept. 17, 2017."
97,"We watched all 15 of the competing shorts in the Oscars' live-action, animated and documentary categories, and we've got a pretty good idea of the frontrunners"
98,"""With youth voices leading on issues like climate action and school safety, we are amazed that the Iannarone campaign would target youth volunteers with scorn."""
99,The United States on Friday declared a public health emergency because of a new virus that hit China and has spread to other nations. Health and Human Services Secretary Alex Azar also announced that President Donald Trump will temporarily bar entry to the U.S. of foreign nationals believed to be a risk of transmitting the virus. The new restrictions begin Sunday afternoon.
100,"That sweet older lady you walked by at California Stage Theater Company might be a serial killer, or at least be portraying one."
101,Officials say shots fired at intruder vehicle at Mar-a-Lago http://bhne.ws/LrCjHbU
102,"The Super Bowl is upon us, leave the snacks & beer to the professionals."
103,"You could fight tooth and nail to see Monet, or you could visit one of the other, exciting exhibits in town."
104,Arbitrator: Hillsborough Fire Rescue must hire back lieutenant https://trib.al/kIDMoMU
105,"The expansion of a hazardous waste processing plant with a history of serious violations on Detroit's east side smacks of ""environmental racism,"" Rep. Isaac Robinson wrote in scathing letters to state officials."
106,Garth Greenwell carries on in the tradition of Virginia Woolf—but with a lot more sex.
107,"Warm up with music, theater and art this weekend in Madison."
108,“I don't have a coach and I prefer it that way. I suppose if I had a training partner it might help a little bit. But it's easy to get injured if you run with somebody else because you tend to ignore how you're feeling and how your body is doing.” — Joe Sheeran
109,"The entire album was recorded right here in our hometown by Jason McEntire at Sawhorse studios, with Guns N' Roses/Pale Divine guitarist (and fellow STLien) Richard Fortus producing."
110,"To celebrate the first anniversary of its brick-and-mortar restaurant, Balkan Treat Box will feature collaborations with other talented chefs."
111,#BREAKING: Health officials have confirmed the first case of Coronavirus in the Bay Area.
112,#BREAKING: Health officials have confirmed the first case of Coronavirus in the Bay Area.
113,"Even at 85 years old, she travels nearly 300 days a year speaking about the threats facing chimpanzees and her reasons for hope that humankind will solve the problems it has imposed on the Earth."
114,Trump trial could end soon; Alexander says no to witnesses http://bhne.ws/vYgCjz4
115,"IPAs aren't just hazy, they're flat-out WEIRD now. Deliciously weird. Hazily, Fruitily, Brut-aly weird. With pie."
116,"#BREAKING The actions, announced today by President Donald J. Trump's newly formed virus task force, will begin Feb. 2."
117,Looking for a quick bite to eat or a cup of coffee near Phoenix Sky Harbor International Airport?
118,"Forecasters with the National Weather Service say temperatures should be in the low to mid 50s while the parade rolls through the Bywater, Marigny and French Quarter. Good news — no rain is expected."
119,Rolling Meadows High School and South Middle School were all about Jimmy Garoppolo today! 🏈💜💛🏈 High School District 214 Rolling Meadows High School What's Happening in Rolling Meadows IL?
120,A woman suffered minor injuries when her car crashed into a house on North Calispel Street on Friday morning.
121,"To get a taste of this delicious creation, you'll need to take a road trip to Dayton or Columbus."
122,The location of a planned Arby's would change slightly but still be in Bealeton.
123,"“Just because actions meet a standard of impeachment does not mean it is in the best interest of the country to remove a president from office,” Marco Rubio wrote."
124,"President Donald J. Trump was not at the resort at the time, although he was scheduled to arrive there later today."
125,"Delta, American Airlines suspend flights to China amid coronavirus concerns http://bhne.ws/ka9b73v"
126,"Cody Johnson used to be an amateur bull rider. Now, he's taking Nashville's music industry by the horns."
127,"Tonight, Shane Mauss brings his brand of trippy, unusually informative comedy to the Open Stage Club."
128,This week's letters are about the Women's Issue and #MeToo
129,"Burnhearts' Mitten Fest 2020 has become a beloved tradition for those experiencing a touch of cabin fever being cooped up inside in the long, dark winter. The annual fest runs tomorrow (Saturday, Feb. 1) from noon-8 p.m."
130,"The saga began January 20, when an 11-year-old girl inside the family’s home called the Phoenix Police Department and said she was home alone, police said."
131,"The saga began January 20, when an 11-year-old girl inside the family’s home called the Phoenix Police Department and said she was home alone, police said."
132,Where to party like it's your birthday.
133,The service industry scramble at Steamworks Brewing Co is starting! Watch your favorite local server race around the industry obstacle course.
134,The weekend edition of The Press-Sentinel will soon hit the streets. Please pick up a copy or go to www.thepress-sentinel.com.
135,"Don't forget to sign up for our free weekday newsletter from Olympia, written by Everett Herald political reporter Jerry Cornfield."
136,"Plus, Armature Works’ Graze 1910 opens a second location in early February, The Sunshine Kitty Catfe is getting closer to their debut, and few other tidbits in our weekly food news round-up."
137,Here's Yunji de Nies with today's headlines! Check StarAdvertiser.com for more information.
138,"Bow Wow Film Festival screens a selection of short films on all things doggy, with the proceeds donated to Greyhounds in Motion."
139,"A measure designed to protect the health, safety and overall well-being of domestic workers in Washington state has been sponsored by Democratic senators at the request of Gov. Jay Inslee and Attorney General Bob Ferguson. #waleg"
140,That mild weather will linger into the beginning of next week before a strong cold front drops temperatures.
141,The country's favorite fatty fruit plays first fiddle at AvoEatery in Trinity Groves.
142,"The French film ""Les Miserables"" is a dramatic thriller that doesn't let up for the full one hour and 45 minutes of its run time."
143,Regal has announced its annual Best Picture Film Festival through Feb. 9 featuring seven best picture nominees that played in Regal theaters in 2019. Festival passes will be available for purchase providing viewing of all seven movies for $35.
144,"More than $3,100 was raised after the national championship game, and the money will help increase the population of wild tigers around the world."
145,Paige Kemp of Milton Middle School-VT is one of this week's Students Stepping Up.
146,Charlie Weis won’t be surprised if Bill Belichick has big trade up his sleeve for draft day http://bhne.ws/NqVrrzU
147,"At the middle school level, 487 classes had 30 or more students; about 70 percent of those were at the six western Henrico middle schools."
148,"TODAY'S BIG Q What do you think of Hawaii tourism topping 10 million visitors in 2019? A. Great; good for economy, jobs B. Bad; too much, enough already C. Mixed; pros and cons Comment below with your thoughts, then vote in the poll (subscribers only): http://bit.ly/36LRZVC #hawaii #hinews #staradvertiser"
149,"He and his wife had been in the midst of a divorce, and she had taken out an order of protection against him last fall. He shot her and killed her dad before going on the run."
150,"The Cat in the Hat, a play based on Seuss’ subversive children’s classic, runs through Feb. 9 at Lyric Theatre of Oklahoma."
151,Republicans resisted any efforts by Democrats to keep the proceedings going for weeks.
152,Cal Am desalination plant suffers major setback in pursuit of Coastal Commission permit.
153,DeSantis said charges “could be filed” against two men for the murder of Nicole Montalvo.
154,"Should single-use drug possession be a felony, or a chance for mental health intervention?"
155,"Public Works Director Mohammed Nuru, a top city official, faces up to 25 years in prison on FBI corruption charges surrounding alleged schemes to sway city contracts http://sfwk.ly/2RZr5V0?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
156,"Enter to win a pair of tickets to see the world premiere of How A Boy Falls by Steven Dietz at the Northlight Theatre PLUS a $100 Visa gift card! ""A newly hired au pair named Chelle is thrust into the midst of a mystery when the sudden disappearance of a young boy casts suspicion on her and the boy’s wealthy parents. The parents are seeking answers – and possibly revenge – while Chelle is hatching a dangerous scheme of her own. No one is exactly who they seem to be in a taut psychological thriller that asks who we can trust… if we can trust anyone."" ➡️➡️ Enter at events.dailyherald.com"
157,"Theater-goers are in for a cataclysmic evening of high stakes drama with this quirky, crowd-pleasing spectacle."
158,"While Ohio's U.S. Sen. Rob Portman has acknowledged that Trump's actions toward Ukraine were ""wrong and inappropriate,"" he says he does not believe they rise to the level of impeachable offenses."
159,Wanted by the FBI: Chinese national accused of doing research at Boston University under Chinese army orders http://bhne.ws/veNBjeu
160,"Hit the streets for loads of fun, parades, plants and more this weekend."
161,"""Dear Kendra the Kitten, I recently started dating a musician and I'm worried he might cheat on me. Do you have any advice? —Beth, 22, Ballard"""
162,"The unidentified person has been ordered to stay in quarantine at the base until the “entire incubation period or until otherwise cleared,” Riverside County Public Health said. The incubation period is 14 days."
163,"""While Tom and Jerry, Looney Tunes and Disney cartoons were Oscar winners — and even the late Kobe Bryant won for his gorgeous Dear Basketball — this year’s batch of nominees for Best Animated Short are far from cute ‘n’ funny or warm ‘n’ fuzzy."" https://sfex.news/2vEOOCx?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com"
164,"Experts warn that this ad-targeting system is still vulnerable to manipulation by foreign governments and domestic actors trying to influence the election, just as they did in 2016."
165,"Dailey, 73, had an execution scheduled in November, but a judge issued a stay of execution. Since then, his new appeals have been rejected."
166,"Students gathered at the Nippon Business Institute on the Everett Community College campus recently to celebrate Coming of Age Day, a national holiday in Japan for 20-year-old men and women."
167,Corrections officer fired amid investigation into drug smuggling at Norfolk County jail http://bhne.ws/AMuwQ9l
168,Enter to win 2 tickets to Arenacross at the Livestock Events Center!
169,"Rep. Tom Stevens (D-Waterbury) called sports betting ""pervasive"" and described keno as a ""lonely,"" ""terrible"" and ""addictive game."""
170,"Ticket sale information hasn’t been announced, but a daily lottery similar to the one available during the show’s last run (where tickets cost $10) is likely."
171,"There's no telling where the future of surveillance technology will go, but two advocacy groups want to keep it out of colleges and universities."
172,LIVE: How can the 49ers stop this explosive Chiefs offense? What might Kyle Shanahan's game plan look like? What's the best Super Bowl prop bet out there? Reporter Cam Inman previews the Super Bowl live from Miami. Have questions for Cam? Drop them in the comments!
173,LIVE: How can the 49ers stop this explosive Chiefs offense? What might Kyle Shanahan's game plan look like? What's the best Super Bowl prop bet out there? Reporter Cam Inman previews the Super Bowl live from Miami. Have questions for Cam? Drop them in the comments!
174,"SPONSORED: The Strokes are coming to WAMU Theater on Monday, March 9th. Tickets on sale now! Purchase tickets and more info here: https://www1.ticketmaster.com/the-strokes/event/0F005837DC64EE30 Enter to win tickets here: https://woobox.com/vfjnco"
175,"Happy Birthday, Samantha!"
176,"Arts Devo wants you to know that North State Writers is putting on Live Word II this weekend at the Blue Room Theatre, a collaboration that’s described as a “no costumes, no props” reading by actors of a dozen original written works. Also, join us in welcoming our new calendar editor, Trevor Whitney!"
177,"Officials believe the manatee got stuck in the tire as a calf, and it has since tightened around its body as it grew."
178,Friends of East Sacramento is about to take over management of Shepard Garden and Arts Center and will lay out its plan at Monday meeting.
179,The answer depends on whether you want a gloved hand or swab touching your king cake...
180,"A campaign to save the bowling alley, opened in 1961 on Hekili Street, emerged in 2017 after A&B announced it would be redeveloping the property. A&B put its plans on hold following a strong community reaction, but it has now informed the operators that its annual lease will be reduced to month-to-month starting Saturday."
181,Elyejah — who was biracial — had talked about feeling discrimination due to the color of his skin.
182,A powerhouse sandwich for pocket change awaits you at Zaguán Latin Café and Bakery.
183,State legislators are organizing bipartisan support for the timber industry amid the realization that forestry draws carbon from the atmosphere and could help the state meet its carbon reduction goals. #waleg
184,"It’s been less than a month since Scott Fairley died, but organizations are already setting up long-term tributes in his name."
185,"The Allied Pilots Association, which represents nearly 15,000 pilots at the Fort Worth-based airline, filed suit Thursday in Dallas County court asking for a temporary restraining order on flights."
186,"It was another prime Christmas for Amazon. The online retailer said Thursday it now has more than 150 million Prime members, who pay $119 a year for faster shipping and other perks."
187,"Alpine lakes are beautiful year-round, but they have a special magic when the trails are quiet."
188,The end appears on the horizon for the third impeachment trial of a president in US history. The Alaska senator’s decision makes it almost a guarantee that Trump will be acquitted.
189,NOPD gives an update on the vehicle burglaries plaguing New Orleans.
190,Gino Vannelli continues his vibrant musical legacy from the comforts of Corbett.
191,The end appears on the horizon for the third impeachment trial of a president in US history. The Alaska senator’s decision makes it almost a guarantee that Trump will be acquitted.
192,Massachusetts men among arrests in Rhode Island underage sex solicitation sting http://bhne.ws/OLrMf1w
193,"Less than 40 percent of adults nationwide can name the three branches of government, say two columnists."
194,"Under the proposed law, animal cruelty could be punishable by up to 16 months in prison and a $10,000 fine. The law would also create a new crime — a fourth-degree felony — for charging those who aid and abet animal cruelty."
195,"It is a damn good time to be a fan of hip-hop here in Portland, and Sneaker Wave is here to document the amazing energy on display in the first half of February!"
196,Hawaii legislators Thursday announced the introduction of bills that restrict the sale of sunscreens with anything other than those deemed safe for coral reefs as well as human health in the state.
197,St. Louis County Police have confirmed that they're not going to arrest anyone with a medical marijuana card for possession.
198,"Vela, who's running for Bexar County sheriff, was last week indicted on three felony charges, including aggravated perjury and tampering with evidence."
199,"“We thought it would be empowering to women,” 42-year-old director Reed Morano, who graduated from Hanover High School, said of her film. “It also didn’t have to abide by all these unwritten rules that female protagonists have to abide by.”"
200,Do you barf on people you like or people you don't like?
201,"The Peninsula Singers is seeking additional vocalists for its spring concert, “Magic of Musicals."" #ClallamCounty #Sequim"
202,Tom Brady’s future a hot topic at Super Bowl LIV http://bhne.ws/ahC7amJ
203,"Sekulow has been one of Trump’s most visible defenders, enduring as a trusted attorney for the president even as other of his lawyers have been sidelined or entangled in controversy."
204,"WhigFest Music & Arts Festival—which was shaping up to be a nice, multi-venue replacement for Ybor City’s long-postponed Heatwave festival—is canceled."
205,“This has to happen from the grassroots up. The community has to buy in.”
206,"The unidentified person has been ordered to stay in quarantine at the base until the “entire incubation period or until otherwise cleared,” Riverside County Public Health said. The incubation period is 14 days."
207,"Some people loved him. Some people hated him. But either way, it was hard not to be moved by Gary Burden."
208,Taqueria Del Sol turns 20 this weekend! Here's how the beloved taco spot came to be:
209,"Last year's BeachLife Festival was the most successful music fest in South Bay history, attracting 10,000 people, bringing in legends Brian Wilson, Bob Weir, and Willie Nelson, and in the process reimagining what the Redondo Beach waterfront could be. How do you follow that up? This year's lineup was unveiled last week and included the Steve Miller Band, Ben Harper, a Bob Marley tribute featuring sons Ziggy and Stephen, WAR, Live, and a new punk-centric stage curated by Pennywise frontman Jim Lindberg, who will also do his first-ever public acoustic performance. "" It may not sound like James Taylor,"" Lindberg promised."
210,Our readers have spoken. #MadFaves 🍕 Here's who made the list: 1. Salvatore's Tomato Pies-Sun Prairie/Salvatore's Tomato Pies - Madison 2. Glass Nickel Pizza Co. - Madison East/ Glass Nickel Pizza Co. - Madison West/Glass Nickel Pizza Co. - Sun Prairie/Glass Nickel Pizza Co. Fitchburg 3. Ian's Pizza Madison 4. Pizza Di Roma State Street/Pizza Di Roma West 5. The Roman Candle Pizzeria
211,"Hickman's Family Farms, the site of several recent, serious injuries among state prison inmate workers, has not violated any federal worker safety regulations, a state inspection has found."
212,"As the number of flights in and out of China dwindles, passengers on the planes that are still flying face an eerie scene."
213,"State lawmakers took their first step Thursday to get the state and tribal governments, including the Tulalips, to stop fighting over sales tax dollars and start sharing them."
214,Damn. We might be crushing on Valentine's Day right now.
215,Trump makes a big play with presidential campaign Super Bowl ads http://bhne.ws/qM6d9Uv
216,Senate agrees to sharp shift in state climate policies
217,"After Lizzo performance, it better be a hell of a game for the actual Super Bowl to seem like anything but an afterthought."
218,Are urban areas imposing their values on rural parts of Colorado? The La Plata Civil Dialogue group discusses wolf reintroduction.
219,Murkowski to vote ‘no’ on Trump impeachment trial witnesses http://bhne.ws/lSGYmjx
220,"Clearwater police say he met a woman at a gym, then choked, punched and raped her. It occurred a day before he was arrested in connection with a rape from last year."
221,"The state is sitting on billions of dollars, and will pay back your claims through a new website."
222,The Red Hot Chilli Pipers are doing an intimate club show in Cincinnati this August.
223,"Menor’s announcement leaves several other hopefuls who have either announced their candidacies for mayor or filed organizational papers indicating a mayoral run: businessman Keith Amemiya, Honolulu TV executive Rick Blangiardi, former state Sen. John Carroll, former U.S. Rep. Colleen Hanabusa, community advocate Choon James and incumbent Councilwoman Kym Pine."
224,Restaurant review: Taste of India lives up to its name and gives new flavor to Pacific Grove's dining scene.
225,"Grace Church in The Plains has three upcoming events in its concert series, in February, March and April. The February concert is sold out already, so you might want to snag tickets for the later two."
226,"PLAN YOUR WEEKEND: Llama Love, a pruning workshop, s'mores kits, an early music concert and so much more are happening on the North Olympic Peninsula! #ClallamCounty #JeffersonCounty #weekend #OlympicPeninsula"
227,"""Menstrual products are a necessity, they enable women to participate in society, to go to school, to go to work."""
228,"Read this description and try not to think of Seattle: ""The city, trapped in nostalgia for its own mythology... had not quite caught up to the newfound momentum of tech's dark triad: capital, power, and a bland, overcorrected, heterosexual masculinity."""
229,"Boulevard Mercantile, a purveyor of vintage furnishings, decor and clothing, is moving from Monroe Street to a space closer to downtown Spokane."
230,"Torre and David Solazzo have been serving Italian cuisine in downtown Covington for nearly two decades at their Del Porto Ristorante. Soon, they’ll have a second restaurant with a broader scope of flavors, and a much different style, just down the street."
231,How does one avoid the Super Bowl but still manage to enjoy the weekend? We recommend starting here.
232,"Alto has about 10,000 active members who pay a subscription-based fee. It’s driven nearly 100,000 rides. It serves more than 900 square miles of the Dallas-Fort Worth area."
233,"After getting teased, a coworker heard the suspect talk about using chemicals found at the workplace to ""dissolve bodies"" and ""make explosives."""
234,"Despite the growing interest in vegan restaurants, Denver is still a big burger town."
235,Advocates for priest abuse survivors said they were pleased after a state judge referred a request to unseal emails between the Saints and the Archdiocese of New Orleans about the church's handling of its sexual abuse crisis to a court official.
